rule,severity,file,line,message
"misra-c2012-10.1","style","libs/ra_ble_host/src/ra_ble_mesh.c","37","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.1","style","libs/ra_ble_host/src/ra_ble_mesh.c","38","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.2","style","libs/ra_core/src/ra_log.c","252","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.2","style","libs/ra_fs/src/ra_fs_fat.c","479","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.3","style","libs/ra_psa_crypto/src/ra_psa_crypto.c","329","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_fs/src/ra_fs_fat.c","558","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_fs/src/ra_fs_fat.c","564","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_fs/src/ra_fs_fat.c","569","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_fs/src/ra_fs_fat.c","577","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_gfx/src/ra_gfx_text.c","516","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_reflow/src/ra_reflow_layout.c","299","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.4","style","libs/ra_reflow/src/ra_reflow_layout.c","311","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.5","style","libs/ra_modem_at/src/ra_modem_at.c","156","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.5","style","libs/ra_modem_at/src/ra_modem_at.c","489","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.7","style","libs/ra_psa_crypto/src/ra_psa_crypto.c","345","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_ble_host/src/ra_ble_mesh.c","156","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_ble_host/src/ra_ble_mesh.c","173","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_core/src/ra_log.c","252","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_core/src/ra_rand_stub.c","61","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_epub/src/ra_epub_open.c","107","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_ota/src/ra_ota.c","234","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_ota/src/ra_ota.c","268","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-10.8","style","libs/ra_ota/src/ra_ota.c","283","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.4","style","libs/ra_core/src/ra_exception.c","75","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.4","style","port/nimble/nimble_npl_threadx.c","334","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.4","style","port/nimble/nimble_npl_threadx.c","361","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.4","style","port/nimble/nimble_npl_threadx.c","496","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.4","style","port/nimble/nimble_npl_threadx.c","531","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.5","style","libs/ra_gfx/src/ra_gfx_text.c","262","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
"misra-c2012-11.5","style","libs/ra_gfx/src/ra_gfx_text.c","519","misra violation (use --rule-texts=<file> to get proper output) (Undefined)"
