chapter,section,symbol,offset,offset_expr,page,page_end,name
2,9.1.1,CPUSAR,0x170,0x170,126,127,CPU Security Attribution Register
2,9.1.2,CPUnLCKUPCR,0x030,0x030 + 0x004 * n,127,127,"CPUn Lockup Control Register (n = 0, 1)"
2,9.1.3,CPUnCRPT,0x840,0x840 + 0x004 * n,127,128,"CPUn Control Register Protection Register (n = 0, 1)"
2,9.1.4,CPU0LOCKCR,0x400,0x400,128,128,CPU0 Function Lock Control Register
2,9.1.5,CPU1LOCKCR,0x404,0x404,128,129,CPU1 Function Lock Control Register
2,9.1.6,CPUnLOCKCRNS,0x500,0x500 + 0x004 * n,129,129,"CPUn Non-secure Function Lock Control Register (n = 0, 1)"
2,9.1.7,CPUnINITVTOR,0x040,0x040 + 0x004 * n,129,130,"CPU Initial Vector Base Address Register (n = 0, 1)"
2,9.1.8,CPUnWAITCR,0x050,0x050 + 0x004 * n,130,130,"CPUn CPUWAIT Control Register (n = 0, 1)"
2,9.1.9,CPUnACTCSR,0x060,0x060 + 0x004 * n,130,131,"CPUn Activation Control and Status Register (n = 0, 1)"
2,9.1.10,CPU0LMECR,0x070,0x070,131,131,CPU0 Local Memory Error Control Register
2,9.1.11,CPUIDR,0x078,0x078,131,132,CPU Identification Register
2,9.1.12,CPU0STATM,0x080,0x080,132,132,CPU0 Status Monitor Register
2,9.1.13,CPU1STATM,0x084,0x084,132,133,CPU1 Status Monitor Register
2,9.1.14,SECEXTMON,0x090,0x090,133,133,CPU SECEXT Monitor Register
2,9.1.15,NSCPUCR,0x094,0x094,133,133,Non-secure CPU Control Register
2,9.5.1,DEBUGSAR,0x180,0x180,140,141,Debug Security Attribution Register
2,9.5.2,DBGSTR,0x000,0x000,141,141,Debug Status Register
2,9.5.3,DBGSTOPCR,0x010,0x010,141,142,Debug Stop Control Register
2,9.5.4,DBGAUTH0,0x020,0x020,142,143,Debug Authentication Control Register0
2,9.5.5,CACHEDBGCR,0x040,0x040,143,144,Cache Debug Control Register
2,9.5.6,TRPORTCR,0x030,0x030,144,145,Trace Port Control Register
2,9.5.7,ALCTRL,0x100,0x100,145,146,Authentication Level Control Register
2,9.5.8,FSBLSTAT,0x200,0x200,146,146,First Stage Boot Loader Status Register
2,9.5.9,TRPORTSZ,0x038,0x038,146,147,Trace Port Size Control Register
2,9.5.10,DBGNVMCR,0x050,0x050,147,147,Debug Non-volatile Memory Control Register
2,9.6.1,MCUSTAT,,,148,150,MCU Status Register
2,9.6.2,MCUERRSTAT,0x000,0x000,150,150,MCU Error Status Register
2,9.6.3,MCUCTRL,0x004,0x004,150,151,MCU Control Register
2,9.6.4.1,JBMDR,0x100,0x100,151,151,JTAG Boot Mode Entry Register
2,9.6.4.2,JBRDR,0x120,0x120,151,152,JTAG Boot Receive Data Register
2,9.6.4.3,JBTDR,0x130,0x130,152,152,JTAG Boot Transmit Data Register
2,9.6.4.4,JBSTR,0x140,0x140,152,153,JTAG Boot Status Register
2,9.6.4.5,JBICR,0x150,0x150,153,153,JTAG Boot Interrupt Control Register
2,9.6.4.6,FSBLSTATM,0x300,0x300,153,154,First Stage Boot Loader Status Monitor Register
2,16.3.1,CACHESAR,0x500,0x500,163,164,Cache Security Attribution Register
2,16.3.2,CCACTL,0x000,0x000,164,165,C-Cache Control Register
2,16.3.3,CCAFCT,0x004,0x004,165,166,C-Cache Flush Control Register
2,16.3.4,CCAWTA,0x00C,0x00C,166,167,C-Cache Write Attribute
2,16.3.5,CCAEDST,0x010,0x010,167,168,C-Cache Error Detection Status
2,16.3.6,CCATAA,0x014,0x014,168,169,C-Cache Test Access Address
2,16.3.7,CCATAD_DATA,0x018,0x018,169,170,C-Cache Test Access Data (DATA)
2,16.3.8,CCATAD_ECC,0x018,0x018,170,171,C-Cache Test Access Data (ECC)
2,16.3.10,CCATAD_LRU,0x018,0x018,171,172,C-Cache Test Access Data (LRU)
2,16.3.9,CCATAD_TAG,0x018,0x018,171,171,C-Cache Test Access Data (TAG)
2,16.3.11,CCATAD_TAGECC,0x018,0x018,172,173,C-Cache Test Access Data (TAGECC)
2,16.3.12,SCACTL,0x040,0x040,173,174,S-Cache Control Register
2,16.3.13,SCAFCT,0x044,0x044,174,175,S-Cache Flush Control Register
2,16.3.14,SCAWTA,0x04C,0x04C,175,176,S-Cache Write Attribute
2,16.3.15,SCAEDST,0x050,0x050,176,177,S-Cache Error Detection Status
2,16.3.16,SCATAA,0x054,0x054,177,178,S-Cache Test Access Address
2,16.3.17,SCATAD_DATA,0x058,0x058,178,179,S-Cache Test Access Data (DATA)
2,16.3.18,SCATAD_ECC,0x058,0x058,179,180,S-Cache Test Access Data (ECC)
2,16.3.19,SCATAD_TAG,0x058,0x058,180,180,S-Cache Test Access Data (TAG)
2,16.3.20,SCATAD_LRU,0x058,0x058,180,181,S-Cache Test Access Data (LRU)
2,16.3.21,SCATAD_TAGECC,0x058,0x058,181,182,S-Cache Test Access Data
2,16.3.22,CAPOAD,0x200,0x200,182,183,Cache ECC Error Operation After Detection Register
2,16.3.23,CAPRCR,0x204,0x204,183,183,Cache Protection Register
2,17.3.1,TCMSAR,0x504,0x504,193,194,TCM Security Attribution Register
2,17.3.2,TCMSABARx,0x508,0x508 or 0x50C,194,195,TCM Security Attribute Boundary Address Register (x = C or S)
2,17.3.3,TCMPRCR_S,0x00,0x00,195,196,TCM Protection Control Register for Secure
2,17.3.4,TCMPRCR_NS,0x04,0x04,196,196,TCM Protection Control Register for Non-Secure
2,17.3.5,TCMCRx,0x10,0x10 or 0x14,196,197,TCM Control Register (x = C or S)
2,17.3.6,TCMESR,0x40,0x40,197,198,TCM Error Status Register
2,17.3.7,TCMESCLR,0x48,0x48,198,199,TCM Error Status Clear Register
2,17.3.8,TCMEARxm,0x50,"0x50, 0x54, 0x58 or 0x5C",199,200,TCM Error Address Register (x = C or S) (m = 0 to 1)
3,2.1,IPCSAR,0x610,0x610,205,208,IPC Security Attribution Register
3,2.2,IPCPAR,0x614,0x614,208,210,IPC Privileged Attribution Register
3,2.3,IPCSEMn,0x000,0x000 + 0x4 * n,210,210,Semaphore Register n (n = 0 to 15)
3,2.4,IPC0NMISTA,0x080,0x080,210,211,Inter-Processor0 NMI Request Status Register
3,2.5,IPC0NMISET,0x084,0x084,211,212,Inter-Processor0 NMI Request Set Register
3,2.6,IPC0NMICLR,0x088,0x088,212,212,Inter-Processor0 NMI Request Clear Register
3,2.7,IPC1NMISTA,0x090,0x090,212,213,Inter-Processor1 NMI Request Status Register
3,2.8,IPC1NMISET,0x094,0x094,213,213,Inter-Processor1 NMI Request Set Register
3,2.9,IPC1NMICLR,0x098,0x098,213,214,Inter-Processor1 NMI Request Clear Register
3,2.10,IPC0STA0,0x0C0,0x0C0,214,215,Inter-Processor0 Status Register0
3,2.11,IPC0ISET0,0x0C4,0x0C4,215,215,Inter-Processor0 IRQ Request Set Register0
3,2.12,IPC0TXD0,0x0C8,0x0C8,215,216,Inter-Processor0 FIFO Transfer Data Register0
3,2.13,IPC0RXD0,0x0CC,0x0CC,216,216,Inter-Processor0 FIFO Receive Data Register0
3,2.14,IPC0CLR0,0x0D0,0x0D0,216,217,Inter-Processor0 Clear Register0
3,2.15,IPC0STA1,0x0E0,0x0E0,217,218,Inter-Processor0 Status Register1
3,2.16,IPC0ISET1,0x0E4,0x0E4,218,219,Inter-Processor0 IRQ Request Set Register1
3,2.17,IPC0TXD1,0x0E8,0x0E8,219,219,Inter-Processor0 FIFO Transfer Data Register1
3,2.18,IPC0RXD1,0x0EC,0x0EC,219,220,Inter-Processor0 FIFO Receive Data Register1
3,2.19,IPC0CLR1,0x0F0,0x0F0,220,221,Inter-Processor0 Clear Register1
3,2.20,IPC1STA0,0x100,0x100,221,222,Inter-Processor1 Status Register0
3,2.21,IPC1ISET0,0x104,0x104,222,222,Inter-Processor1 IRQ Request Set Register0
3,2.22,IPC1TXD0,0x108,0x108,222,223,Inter-Processor1 FIFO Transfer Data Register0
3,2.23,IPC1RXD0,0x10C,0x10C,223,223,Inter-Processor1 FIFO Receive Data Register0
3,2.24,IPC1CLR0,0x110,0x110,223,224,Inter-Processor1 Request Clear Register0
3,2.25,IPC1STA1,0x120,0x120,224,225,Inter-Processor1 Request Status Register1
3,2.26,IPC1ISET1,0x124,0x124,225,226,Inter-Processor1 IRQ Request Set Register1
3,2.27,IPC1TXD1,0x128,0x128,226,226,Inter-Processor1 FIFO Transfer Data Register1
3,2.28,IPC1RXD1,0x12C,0x12C,226,227,Inter-Processor1 FIFO Receive Data Register1
3,2.29,IPC1CLR1,0x130,0x130,227,227,Inter-Processor1 Clear Register1
6,2.1,RSTSAR,0x3C4,0x3C4,255,256,Reset Security Attribution Register
6,2.2,RSTSR0,0xA40,0xA40,256,258,Reset Status Register 0
6,2.3,RSTSR1,0x0C0,0x0C0,258,261,Reset Status Register 1
6,2.4,RSTSR2,0xA44,0xA44,261,262,Reset Status Register 2
6,2.5,RSTSR3,0xA48,0xA48,262,263,Reset Status Register 3
6,2.6,SYRSTMSK0,0xAD0,0xAD0,263,263,System Reset Mask Control Register 0
6,2.7,SYRSTMSK1,0xAD4,0xAD4,263,264,System Reset Mask Control Register 1
6,2.8,SYRSTMSK2,0xAD8,0xAD8,264,264,System Reset Mask Control Register 2
6,2.9,TEMPRCR,0xADC,0xADC,264,265,Temperature Monitor Reset Control Register
6,2.10,TEMPRLR,0xAE0,0xAE0,265,265,Temperature Monitor Reset Lock Register
7,2.1,OFS0,,,280,283,Option Function Select Register 0
7,2.2,OFS2,,,283,284,Option Function Select Register 2
7,2.3,SAS,,,284,284,Startup Area Setting Register
7,2.4,OFS1,,,284,286,Option Function Select Register 1 for Non-Secure and Secure
7,2.4,OFS1_SEC,,,284,286,Option Function Select Register 1 for Non-Secure and Secure
7,2.5,OFS1_SEL,,,286,287,Option Function Select Register 1 for Security Attribution
7,2.6,OFS3,,,287,289,Option Function Select Register 3
7,2.6,OFS3_SEC,,,287,289,Option Function Select Register 3
7,2.7,OFS3_SEL,,,289,290,Option Function Select Register 3 for Security
7,2.8,BPS,,,290,290,Block Protect Setting Register
7,2.8,BPS_SEC,,,290,290,Block Protect Setting Register
7,2.9,PBPS,,,290,290,Permanent Block Protect Setting Register
7,2.9,PBPS_SEC,,,290,290,Permanent Block Protect Setting Register
7,2.11,FSBLCTRL0,,,291,292,FSBL Control Register 0
7,2.12,FSBLCTRL1,,,292,292,FSBL Control Register 1
7,2.13,FSBLCTRL2,,,292,293,FSBL Control Register 2
7,2.14,SACC0n,,,293,293,Start Address of Code Certificate 0n (n = 0 to 3)
7,2.15,SACC1n,,,293,293,Start Address of Code Certificate 1n (n= 0 to 3)
7,2.16,SAMR,,,293,294,Start Address of Measurement Report
7,2.17,REVOKE,,,294,294,REVOKE Enable
7,2.18,HOEMRTRKn,,,294,295,Hash of OEM_ROOT_PKn (n= 0 to 3)
7,2.19,ZHUK,,,295,295,Zeroization HUK Enable
7,2.20,ARCLS,,,295,296,Anti-Rollback Counter Lock Setting
7,2.21,ARCCS,,,296,296,Anti-Rollback Counter Configuration Setting for Non-secure Application
7,2.22,ARC_SECn,,,296,297,"Anti-Rollback Counter for Secure Application n (n = 0, 1)"
7,2.23,ARC_NSECn,,,297,297,Anti-Rollback Counter for Non-secure Application n (n = 0 to 7)
7,2.24,ARC_OEMBLn,,,297,297,"Anti-Rollback Counter for OEMBL (n = 0, 1)"
7,2.25,GPOTPn,,,297,297,General Purpose OTP (n = 0 to 23)
8,2.1,PVDSAR,0x3CC,0x3CC,302,303,Programable Voltage Detection Security Attribution Register
8,2.2,PVDmCMPCR,0xA58,0xA58 + 0x4 * (m - 1),303,304,"Voltage Monitor m Comparator Control Register (m = 1, 2)"
8,2.3,PVDnCMPCR,0xA64,0xA64+ 0x4 * (n - 4),304,304,"Voltage Monitor n Comparator Control Register (n = 4, 5)"
8,2.4,PVDmCR0,0xA70,0xA70 + 0x4 * (m - 1),304,306,"Voltage Monitor m Circuit Control Register 0 (m = 1, 2)"
8,2.5,PVDnCR0,0xA7C,0xA7C + 0x4 * (n - 4),306,307,"Voltage Monitor n Circuit Control Register 0 (n = 4, 5)"
8,2.6,PVDmCR1,0x0E0,0x0E0 + 0x2 * (m-1),307,307,"Voltage Monitor m Circuit Control Register (m = 1, 2)"
8,2.7,PVDmSR,0x0E1,0x0E1 + 0x2 * (m - 1),307,308,"Voltage Monitor m Circuit Status Register (m = 1, 2)"
8,2.8,PVDmFCR,0xB20,0xB20 + 0x4 * (m - 1),308,308,"Voltage Monitor m Function Control Register (m = 1, 2)"
8,2.9,PVDnFCR,0xB2C,0xB2C + 0x4 * (n - 1),308,309,"Voltage Monitor n Function Control Register (n = 4, 5)"
8,2.10,PVDLR,0xB34,0xB34,309,309,Voltage Monitor Lock Register
9,2.1,CGFSAR,0x3C0,0x3C0,322,326,Clock Generation Function Security Attribute Register
9,2.2,SCKDIVCR,0x020,0x020,326,328,System Clock Division Control Register
9,2.3,SCKDIVCR2,0x024,0x024,328,330,System Clock Division Control Register 2
9,2.4,SYRACCR,0xCC,0xCC,330,330,System Register Access Control Register
9,2.5,SCKSCR,0x026,0x026,330,331,System Clock Source Control Register
9,2.6,PLLCCR,0x0AC,0x0AC,331,332,PLL Clock Control Register
9,2.7,PLLCCR2,0x4C,0x4C,332,333,PLL Clock Control Register 2
9,2.8,PLLCR,0x02A,0x02A,333,334,PLL Control Register
