"TDK Corporation"
"Creation Date : September 05, 2026 (GMT)"

"DC Bias Characteristic"

"C1608X7R1H103K080AA"
"DC/V","Capacitance(Nom.)/F"
"0.00000E+0","1.00000E-8"
"1.00000E+0","1.00836E-8"
"2.00000E+0","1.00809E-8"
"3.15000E+0","1.00899E-8"
"4.00000E+0","1.00570E-8"
"5.00000E+0","1.00584E-8"
"6.30000E+0","1.00600E-8"
"8.00000E+0","1.00463E-8"
"1.00000E+1","1.00045E-8"
"1.25000E+1","9.93784E-9"
"1.60000E+1","9.82160E-9"
"2.50000E+1","9.42055E-9"
"3.00000E+1","9.04595E-9"
"4.00000E+1","8.33956E-9"
"5.00000E+1","7.54542E-9"
