"TDK Corporation"
"Creation Date : September 08, 2026 (GMT)"

"DC Bias Characteristic"

"C1608X7R1H224K080AB"
"DC/V","Capacitance(Nom.)/F"
"0.00000E+0","2.20000E-7"
"1.25000E+0","2.23065E-7"
"2.00000E+0","2.23824E-7"
"2.50000E+0","2.23527E-7"
"3.15000E+0","2.22922E-7"
"4.00000E+0","2.21532E-7"
"5.00000E+0","2.19238E-7"
"6.30000E+0","2.15372E-7"
"8.00000E+0","2.09003E-7"
"1.00000E+1","2.00021E-7"
"1.25000E+1","1.87135E-7"
"1.60000E+1","1.67417E-7"
"2.50000E+1","1.19935E-7"
"3.50000E+1","8.41161E-8"
"5.00000E+1","5.55418E-8"
