Altium Designer Pick and Place Locations
C:\ADTmp\Snapshot\2\Assembly internal\d019762_35_s21_v0301_ek-ra8d2_mp_pnp_internal_mp.txt

========================================================================================================================
File Design Information:

Date:       11.06.25
Time:       12:33
Revision:   Not in VersionControl
Variant:    internal
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Rotation 
R140       TopLayer    62.9000      114.8000     62.9000   114.8000  90       
C85        TopLayer    42.3000      91.8000      42.3000   91.8000   0        
C84        TopLayer    42.6000      94.8000      42.6000   94.8000   0        
ACS8       TopLayer    79.0000      187.0000     79.0000   187.0000  0        
ACS7       TopLayer    5.0000       187.0000     5.0000    187.0000  0        
ACS6       TopLayer    5.0000       3.0000       5.0000    3.0000    0        
ACS5       TopLayer    79.0000      3.0000       79.0000   3.0000    0        
ACS4       TopLayer    -54.0470     -33.4130     79.0000   187.0000  0        
ACS3       TopLayer    -54.0470     -33.4130     5.0000    187.0000  0        
ACS2       TopLayer    -54.0470     -33.4130     5.0000    3.0000    0        
ACS1       TopLayer    -54.0470     -33.4130     79.0000   3.0000    0        
MIC2       BottomLayer 31.7501      82.3390      31.7500   82.0000   180      
MIC1       BottomLayer 51.7501      82.3390      51.7500   82.0000   180      
R139       TopLayer    46.1250      97.3500      46.1250   97.3500   90       
E62        BottomLayer 22.1000      184.9000     22.1000   184.9000  0        
E61        BottomLayer 12.9000      110.7000     12.9000   110.7000  90       
E60        BottomLayer 12.9000      121.3000     12.9000   121.3000  90       
E59        BottomLayer 74.1000      126.7000     74.1000   126.7000  270      
RA24       BottomLayer 27.7000      46.3000      27.7000   46.3000   180      
RA23       BottomLayer 31.1000      46.2000      31.1000   46.2000   0        
RA22       BottomLayer 29.3000      43.7000      29.3000   43.7000   0        
C83        TopLayer    27.8000      47.9000      27.8000   47.9000   180      
J35        BottomLayer 16.5750      33.5100      15.5000   33.5100   90       
D16        BottomLayer 35.1500      24.6750      35.1500   24.6750   0        
SW4        TopLayer    35.4360      94.1000      35.4360   94.1000   0        
SW2        TopLayer    5.8000       149.9790     5.8000    149.9790  0        
SW1        TopLayer    5.8000       142.5000     5.8000    142.5000  0        
R138       TopLayer    73.9000      180.5000     73.9000   180.5000  180      
R137       TopLayer    12.3000      162.3000     12.3000   162.3000  0        
R136       TopLayer    44.8000      172.1000     44.8000   172.1000  270      
R135       BottomLayer 44.5000      92.7500      44.5000   92.7500   0        
